Respondent_ID,Persona_Label,Is_Outlier,Q1_Age_Group,Q2_Gender,Q3_City_Tier,Q4_Occupation,Q5_Monthly_Income,Q6_Shopping_Frequency,Q7_Platforms_Used,Q8_Avg_Order_Spend,Q9_Key_Purchase_Factor,Q10_Returns_Frequency,Q11_Product_Categories,Q12_Colour_Preferences,Q13_Occasions,Q14_Style_Personality,Q15_Ethnic_Wear,Q16_Bundle_Preferences,Q17_Price_Sensitivity,Q18_Social_Platform,Q19_D2C_Purchase_Hist,Q20_Sustainability_Pay,Q21_Ideal_Monthly_Budget,Q21_Budget_Numeric_INR,Q22_Digital_Trust_Score,Q23_Influencer_Purchase,Q24_Market_Gap_Perception,Q25_Purchase_Intent_Raw,Q25_Purchase_Intent_Label
R0458,TrendyUrban,True,,Female,Tier-3 / Rural,Salaried – Private,"₹75,000–₹1.5L",Very frequently,Myntra|Instagram/Social,"₹2,500–₹5,000",Trendy designs|Easy returns,Rarely,Jeans/Denim|Dresses|Co-ord sets|Jackets/Blazers|Activewear|Ethnic-Western Fusion,Neutrals|Pastels|Prints & Patterns,Office/Work|Dates/Parties|Travel|Gym/Workout|Work-from-home,Trendy/Street style,Yes – occasionally,Co-ord set+Accessories|Seasonal wardrobe kit,1.0,Instagram,Yes,,"₹2,500–₹5,000",15000.0,5.0,Yes – once or twice,High prices,Very likely,Interested
R0459,ProfessionalWoman,False,35–44,Female,Tier-1,Salaried – Govt.,,Occasionally,Myntra|Flipkart|Instagram/Social,"₹1,000–₹2,500",Brand trust|Fabric quality,Very often,Tops/Blouses|Ethnic-Western Fusion,Dark tones|Prints & Patterns|Earth tones,Office/Work|Casual outings|Festivals|Gym/Workout|Work-from-home,Minimalist,Yes – occasionally,Seasonal wardrobe kit,,None,Yes,Maybe – if quality is great,"₹2,500–₹5,000",3460.0,5.0,No – but tempted,Poor size range|High prices,Very likely,Interested
R0460,TrendyUrban,False,25–34,Female,,,"₹40,000–₹75,000",Very frequently,Myntra|Ajio|Amazon,"₹2,500–₹5,000",Brand trust|Trendy designs,Rarely,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts,Neutrals|Pastels|Bold/Bright,Casual outings|Dates/Parties|Festivals|Travel,Sporty/Athleisure,I buy both equally,Top+Bottom combo|Curated outfit box|Seasonal wardrobe kit,3.0,None,No,Haven't thought,"₹1,000–₹2,500",1400.0,4.0,No – but tempted,Poor returns/service,Somewhat likely,Interested
R0461,BudgetStudent,False,18–24,Female,Tier-1,Student,"₹20,000–₹40,000",Frequently,Meesho|Instagram/Social,Below ₹500,Price/Discounts|Fabric quality,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Activewear|Ethnic-Western Fusion,Neutrals|Pastels|Dark tones,College/Campus|Dates/Parties|Festivals|Travel,Trendy/Street style,Yes – regularly,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Ethnic+western bundle,3.0,Instagram,Yes,No – price matters,"₹500–₹1,000",1080.0,3.0,Yes – once or twice,Poor size range|Designs not India-appropriate,Somewhat likely,Interested
R0462,TrendyUrban,False,35–44,Male,Metro,Salaried – Private,"₹75,000–₹1.5L",Frequently,Amazon|Instagram/Social,"₹1,000–₹2,500",Brand trust|Trendy designs,Sometimes,Jeans/Denim|Tops/Blouses|Jackets/Blazers|Shorts/Skirts|Ethnic-Western Fusion,Dark tones|Prints & Patterns|Earth tones,Casual outings|Travel|Work-from-home,Trendy/Street style,Yes – regularly,Curated outfit box,2.0,YouTube,Not aware,Haven't thought,"₹1,000–₹2,500",1760.0,4.0,Yes – many times,Low fabric quality|High prices,Somewhat likely,Interested
R0463,TrendyUrban,False,,Male,Metro,Student,"Below ₹20,000",Very frequently,,"₹1,000–₹2,500",Price/Discounts|Fabric quality,Never,Jeans/Denim|T-shirts|Dresses|Shorts/Skirts,Pastels|Dark tones|Prints & Patterns,College/Campus|Dates/Parties|Travel|Gym/Workout|Work-from-home,Minimalist,No – western only,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box,2.0,Instagram,Yes,Maybe – if quality is great,"₹1,000–₹2,500",1550.0,2.0,Yes – many times,Poor size range|Designs not India-appropriate,Somewhat likely,Interested
R0464,TrendyUrban,True,18–24,Female,Tier-1,Student,"₹20,000–₹40,000",Frequently,Myntra|Amazon|Instagram/Social,"₹1,000–₹2,500",Price/Discounts|Fabric quality,Sometimes,Jeans/Denim|Dresses|Co-ord sets|Activewear,Neutrals|Pastels|Bold/Bright,Office/Work|Casual outings|Travel|Work-from-home,Trendy/Street style,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999|Ethnic+western bundle,1.0,YouTube,Yes,No – price matters,"₹1,000–₹2,500",20000.0,1.0,Yes – many times,Low fabric quality|Designs not India-appropriate,Neutral,Neutral
R0465,TrendyUrban,False,35–44,Female,Tier-1,Self-employed,"Below ₹20,000",Frequently,Myntra|Meesho|Instagram/Social,"₹500–₹1,000",Price/Discounts|Brand trust,Often,Jeans/Denim|Tops/Blouses|Dresses|Jackets/Blazers|Shorts/Skirts,Bold/Bright|Dark tones,Office/Work|Dates/Parties|Festivals|Travel|Work-from-home,Trendy/Street style,Yes – occasionally,Top+Bottom combo,3.0,Instagram,Yes,Maybe – if quality is great,"₹2,500–₹5,000",3690.0,4.0,Yes – many times,Poor size range|Low fabric quality,Somewhat likely,Interested
R0466,BudgetStudent,False,18–24,,Tier-1,Salaried – Private,"Below ₹20,000",Occasionally,Myntra|Ajio|Flipkart|Meesho|Instagram/Social,Below ₹500,Fabric quality,Never,Jeans/Denim|T-shirts|Tops/Blouses|Ethnic-Western Fusion,Neutrals,College/Campus|Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout,Boho/Free-spirited,Yes – regularly,Co-ord set+Accessories,1.0,Instagram,Yes,No – price matters,"₹2,500–₹5,000",3630.0,2.0,No – but tempted,Low fabric quality|High prices,Definitely not,Not Interested
R0467,BudgetStudent,True,25–34,Female,Tier-3 / Rural,Student,Above ₹1.5L,Occasionally,Ajio|Flipkart,"₹500–₹1,000",Price/Discounts|Trendy designs,Often,Jeans/Denim|T-shirts|Tops/Blouses,Dark tones,Casual outings|Festivals|Travel|Gym/Workout,Classic/Formal,I buy both equally,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Curated outfit box,1.0,YouTube,Yes,Definitely yes,₹0,0.0,5.0,Yes – once or twice,Low fabric quality|Designs not India-appropriate,Neutral,Neutral
R0468,ProfessionalWoman,False,35–44,Female,Tier-2,Salaried – Private,"₹75,000–₹1.5L",Very frequently,Myntra|Amazon|Flipkart,"₹2,500–₹5,000",Brand trust|Easy returns,Rarely,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers,Neutrals|Bold/Bright|Prints & Patterns,Office/Work|Casual outings|Festivals|Travel|Work-from-home,Trendy/Street style,Yes – occasionally,Curated outfit box,5.0,WhatsApp/Friends,Yes,Maybe – if quality is great,"₹1,000–₹2,500",1970.0,5.0,Yes – once or twice,Low fabric quality|Designs not India-appropriate,Somewhat likely,Interested
R0469,ProfessionalWoman,False,25–34,Male,Tier-2,Salaried – Govt.,"₹40,000–₹75,000",Occasionally,Myntra|Amazon|Flipkart|Instagram/Social,"₹1,000–₹2,500",Fabric quality|Easy returns,,Jeans/Denim|Tops/Blouses|Co-ord sets|Activewear|Ethnic-Western Fusion,Neutrals|Pastels|Prints & Patterns,Office/Work|Casual outings|Dates/Parties|Travel|Work-from-home,Minimalist,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories,3.0,Pinterest,Yes,No – price matters,"₹5,000–₹10,000",6980.0,4.0,No – never,Poor size range|Low fabric quality,Neutral,Neutral
R0470,BudgetStudent,False,18–24,Female,Tier-1,Student,"₹20,000–₹40,000",Occasionally,Amazon|Flipkart|Meesho,"₹1,000–₹2,500",Brand trust,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses,Pastels|Bold/Bright|Dark tones,College/Campus|Dates/Parties|Gym/Workout|Work-from-home,Sporty/Athleisure,I buy both equally,Seasonal wardrobe kit,2.0,YouTube,No,No – price matters,"₹500–₹1,000",650.0,3.0,Yes – many times,Poor returns/service,,Interested
R0471,TrendyUrban,True,25–34,Female,Tier-1,Self-employed,"₹40,000–₹75,000",Frequently,Myntra,"₹1,000–₹2,500",Price/Discounts|Brand trust,Sometimes,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts|Activewear|Ethnic-Western Fusion,Pastels|Bold/Bright|Dark tones,Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout,Trendy/Street style,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999|Curated outfit box|Seasonal wardrobe kit,1.0,Instagram,Yes,Definitely yes,"₹500–₹1,000",0.0,1.0,Yes – many times,Poor size range|Designs not India-appropriate,Unlikely,Not Interested
R0472,TrendyUrban,False,18–24,Female,Tier-1,Freelancer,"₹75,000–₹1.5L",Very frequently,Myntra|Ajio|Flipkart|Meesho|Instagram/Social,"₹2,500–₹5,000",Price/Discounts|Brand trust,Sometimes,T-shirts|Ethnic-Western Fusion,Pastels|Bold/Bright|Dark tones,Office/Work|Casual outings|Dates/Parties|Travel|Gym/Workout|Work-from-home,Boho/Free-spirited,No – western only,Co-ord set+Accessories,2.0,Instagram,Yes,No – price matters,"₹2,500–₹5,000",2530.0,4.0,Yes – many times,Poor size range,Very likely,Interested
R0473,TrendyUrban,False,18–24,Male,Metro,Salaried – Private,"₹75,000–₹1.5L",Frequently,None,"₹2,500–₹5,000",Price/Discounts|Trendy designs,Sometimes,T-shirts|Dresses|Shorts/Skirts|Ethnic-Western Fusion,Pastels|Dark tones,College/Campus|Casual outings|Festivals|Travel|Gym/Workout,,Yes – occasionally,3 basics for ₹999|Curated outfit box,3.0,Pinterest,Not aware,Maybe – if quality is great,"₹5,000–₹10,000",6020.0,3.0,No – never,Poor size range|Designs not India-appropriate,Very likely,Interested
R0474,BudgetStudent,False,Under 18,Male,Tier-2,Student,"Below ₹20,000",Frequently,Myntra|Flipkart|Meesho|Instagram/Social,"₹500–₹1,000",Price/Discounts|Trendy designs,Often,Jeans/Denim|T-shirts|Tops/Blouses|Activewear,Pastels|Prints & Patterns|Earth tones,College/Campus|Casual outings|Dates/Parties|Travel,Boho/Free-spirited,Yes – occasionally,Top+Bottom combo|3 basics for ₹999,1.0,Instagram,Yes,No – price matters,"₹500–₹1,000",980.0,4.0,No – but tempted,Poor size range|Low fabric quality,Somewhat likely,Interested
R0475,TrendyUrban,False,35–44,Male,Metro,Salaried – Private,"₹40,000–₹75,000",Occasionally,Ajio|Flipkart,"₹1,000–₹2,500",Fast delivery,Sometimes,Jeans/Denim|Tops/Blouses|Co-ord sets|Jackets/Blazers|Shorts/Skirts|Activewear,Neutrals|Pastels|Dark tones,Dates/Parties|Festivals|Work-from-home,Minimalist,No – western only,3 basics for ₹999,4.0,Instagram,No,No – price matters,"₹1,000–₹2,500",2230.0,4.0,Yes – many times,Poor size range|Low fabric quality,Somewhat likely,Interested
R0476,PremiumShopper,False,35–44,Female,,Salaried – Private,Above ₹1.5L,Very frequently,Myntra|Meesho|Brand website|Instagram/Social,"₹2,500–₹5,000",Fabric quality|Trendy designs,,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers,Neutrals|Dark tones|Prints & Patterns,Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Work-from-home,Sporty/Athleisure,I buy both equally,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,5.0,Instagram,Not aware,Definitely yes,"₹2,500–₹5,000",3620.0,5.0,Yes – many times,Limited ethnic-fusion|Poor returns/service,Very likely,Interested
R0477,ProfessionalWoman,False,35–44,Male,,Salaried – Govt.,"₹75,000–₹1.5L",Frequently,Ajio|Flipkart|Brand website|Instagram/Social,"Above ₹5,000",Brand trust|Trendy designs,Often,Co-ord sets|Jackets/Blazers|Ethnic-Western Fusion,Dark tones|Prints & Patterns,,Minimalist,No – western only,Top+Bottom combo|Co-ord set+Accessories|Seasonal wardrobe kit,5.0,Pinterest,Yes,Haven't thought,"₹2,500–₹5,000",4060.0,4.0,Yes – once or twice,Designs not India-appropriate|Poor returns/service,Very likely,Interested
R0478,ProfessionalWoman,False,25–34,Female,Tier-2,Salaried – Private,Above ₹1.5L,Very frequently,Myntra|Amazon|Meesho,"₹1,000–₹2,500",Brand trust|Fabric quality,Often,T-shirts|Tops/Blouses|Co-ord sets|Jackets/Blazers|Activewear,Dark tones|Earth tones,Office/Work|Casual outings|Travel|Gym/Workout|Work-from-home,,Yes – regularly,Curated outfit box|Ethnic+western bundle,3.0,Instagram,No,Maybe – if quality is great,"₹1,000–₹2,500",1840.0,5.0,No – never,Poor size range|High prices,Very likely,Interested
R0479,HousewifeTier2,False,45–54,Female,Tier-2,Homemaker,"₹20,000–₹40,000",Rarely,Flipkart|None,"₹1,000–₹2,500",Price/Discounts|Fabric quality,Never,Ethnic-Western Fusion,Pastels|Bold/Bright|Dark tones,,Ethnic-Western Fusion,No – western only,Top+Bottom combo|Ethnic+western bundle,2.0,WhatsApp/Friends,Not aware,Haven't thought,"₹2,500–₹5,000",5380.0,4.0,No – never,Designs not India-appropriate|High prices,Somewhat likely,Interested
R0480,HousewifeTier2,False,25–34,Female,Metro,Self-employed,"₹20,000–₹40,000",Rarely,Amazon|Flipkart|Meesho,"₹500–₹1,000",Price/Discounts|Fabric quality,Sometimes,Tops/Blouses|Dresses|Jackets/Blazers|Ethnic-Western Fusion,Neutrals|Bold/Bright,Casual outings|Festivals,Ethnic-Western Fusion,Yes – regularly,Top+Bottom combo|3 basics for ₹999|Ethnic+western bundle,5.0,None,Not aware,Maybe – if quality is great,₹0,90.0,2.0,No – never,Low fabric quality,Somewhat likely,Interested
R0481,TrendyUrban,False,25–34,Female,Metro,Student,"₹40,000–₹75,000",Frequently,Myntra|Ajio|Amazon|Instagram/Social,"₹500–₹1,000",Price/Discounts|Brand trust,Sometimes,Jeans/Denim|Tops/Blouses|Co-ord sets|Activewear,Neutrals|Bold/Bright|Dark tones,College/Campus|Casual outings|Dates/Parties|Festivals|Gym/Workout|Work-from-home,Boho/Free-spirited,I buy both equally,,1.0,Pinterest,Yes,No – price matters,"₹2,500–₹5,000",3680.0,4.0,No – but tempted,Poor size range|Low fabric quality,Neutral,Neutral
R0482,BudgetStudent,False,25–34,Male,Tier-3 / Rural,Student,"₹20,000–₹40,000",Occasionally,Myntra|Meesho,"₹500–₹1,000",Price/Discounts|Trendy designs,Sometimes,Jeans/Denim|Tops/Blouses|Dresses,Neutrals|Pastels|Dark tones,,Boho/Free-spirited,Yes – occasionally,3 basics for ₹999|Ethnic+western bundle,2.0,YouTube,No,No – price matters,"₹500–₹1,000",590.0,5.0,Yes – once or twice,Designs not India-appropriate|High prices,,Neutral
R0483,TrendyUrban,False,25–34,Female,Metro,Freelancer,"₹20,000–₹40,000",Occasionally,Myntra|Amazon|Flipkart|Meesho|Instagram/Social,"₹2,500–₹5,000",Brand trust|Fabric quality,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Co-ord sets|Jackets/Blazers|Activewear,Neutrals|Bold/Bright|Prints & Patterns,College/Campus|Office/Work|Casual outings|Dates/Parties|Travel|Work-from-home,Trendy/Street style,No – western only,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Curated outfit box|Ethnic+western bundle,4.0,Instagram,No,No – price matters,"₹1,000–₹2,500",1280.0,4.0,,Limited ethnic-fusion,Somewhat likely,Interested
R0484,HousewifeTier2,False,35–44,Female,Tier-3 / Rural,Homemaker,"Below ₹20,000",Frequently,,Below ₹500,Price/Discounts|Brand trust,Rarely,Shorts/Skirts|Ethnic-Western Fusion,Pastels|Bold/Bright,Dates/Parties|Festivals|Travel,Minimalist,Yes – regularly,Top+Bottom combo|Ethnic+western bundle|Seasonal wardrobe kit,,WhatsApp/Friends,Yes,No – price matters,"₹1,000–₹2,500",1810.0,2.0,Yes – once or twice,Low fabric quality|Designs not India-appropriate,Somewhat likely,Interested
R0485,HousewifeTier2,False,55+,Female,Tier-3 / Rural,Salaried – Private,"₹20,000–₹40,000",Never,Amazon|Meesho,"₹500–₹1,000",Fast delivery,Often,Tops/Blouses|Dresses|Ethnic-Western Fusion,Bold/Bright|Dark tones|Prints & Patterns,Casual outings,Ethnic-Western Fusion,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999|Curated outfit box|Ethnic+western bundle,1.0,Pinterest,Not aware,No – price matters,"₹500–₹1,000",620.0,3.0,No – never,Poor size range|Limited ethnic-fusion,Somewhat likely,Interested
R0486,PremiumShopper,False,35–44,Female,Metro,Freelancer,"₹40,000–₹75,000",Occasionally,Myntra|Ajio,"Above ₹5,000",Price/Discounts|Brand trust,Often,Jeans/Denim|T-shirts|Tops/Blouses|Co-ord sets|Jackets/Blazers,Neutrals|Dark tones|Prints & Patterns,Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout,Sporty/Athleisure,Yes – regularly,Co-ord set+Accessories|3 basics for ₹999|Curated outfit box|Seasonal wardrobe kit,4.0,Instagram,Not aware,Maybe – if quality is great,"₹5,000–₹10,000",6110.0,3.0,Yes – once or twice,Poor size range|Poor returns/service,Somewhat likely,Interested
R0487,TrendyUrban,False,25–34,Prefer not to say,Metro,Salaried – Private,"₹20,000–₹40,000",Never,Myntra|Instagram/Social,"₹1,000–₹2,500",Easy returns|Fast delivery,Never,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Co-ord sets,Pastels|Bold/Bright|Prints & Patterns,College/Campus|Casual outings|Festivals|Travel,Trendy/Street style,I buy both equally,Top+Bottom combo|Curated outfit box,2.0,Instagram,No,Haven't thought,"₹1,000–₹2,500",1560.0,4.0,Yes – many times,Poor size range|Low fabric quality,Somewhat likely,Interested
R0488,ProfessionalWoman,False,35–44,Female,Tier-1,Salaried – Govt.,Above ₹1.5L,Very frequently,Myntra|Ajio|Amazon,"₹500–₹1,000",Brand trust|Fast delivery,Sometimes,Dresses|Co-ord sets,Pastels,Casual outings,Minimalist,Yes – occasionally,Curated outfit box|Ethnic+western bundle|Seasonal wardrobe kit,5.0,WhatsApp/Friends,Yes,Definitely yes,"₹2,500–₹5,000",3180.0,3.0,No – but tempted,Poor size range|Limited ethnic-fusion,Very likely,Interested
R0489,TrendyUrban,False,25–34,Female,Metro,Salaried – Private,"₹20,000–₹40,000",Frequently,Myntra|Ajio|Flipkart|Meesho|Brand website|Instagram/Social|None,"₹1,000–₹2,500",Price/Discounts|Brand trust,Rarely,,Neutrals|Pastels|Bold/Bright,Office/Work|Casual outings|Dates/Parties|Travel,Minimalist,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|Ethnic+western bundle,2.0,Instagram,Yes,Maybe – if quality is great,"₹2,500–₹5,000",4640.0,5.0,Yes – many times,Poor size range|Limited ethnic-fusion,Very likely,Interested
R0490,ProfessionalWoman,False,25–34,Female,Metro,Freelancer,"₹20,000–₹40,000",Frequently,Myntra|Ajio|Flipkart|None,,Price/Discounts|Brand trust,Sometimes,Jeans/Denim|T-shirts|Co-ord sets|Jackets/Blazers|Shorts/Skirts,Neutrals|Bold/Bright|Dark tones,Office/Work|Casual outings|Dates/Parties|Festivals|Gym/Workout|Work-from-home,Sporty/Athleisure,Yes – occasionally,Top+Bottom combo|Curated outfit box|Seasonal wardrobe kit,3.0,WhatsApp/Friends,Not aware,Maybe – if quality is great,"₹2,500–₹5,000",4220.0,1.0,Yes – once or twice,Low fabric quality|Limited ethnic-fusion,Very likely,Interested
R0491,BudgetStudent,False,18–24,Female,Metro,Student,"₹40,000–₹75,000",Very frequently,Myntra|Ajio|Meesho,Below ₹500,Price/Discounts|Fabric quality,Rarely,Jeans/Denim|T-shirts,Pastels|Dark tones,College/Campus|Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout|Work-from-home,Trendy/Street style,No – western only,Curated outfit box|Ethnic+western bundle,2.0,YouTube,No,Maybe – if quality is great,"₹1,000–₹2,500",1750.0,2.0,No – but tempted,High prices,Somewhat likely,Interested
R0492,BudgetStudent,False,18–24,Male,Tier-1,Student,"Below ₹20,000",Frequently,Ajio|Amazon|Meesho|Instagram/Social,"₹500–₹1,000",Easy returns,Very often,Jeans/Denim|T-shirts|Tops/Blouses|Co-ord sets|Shorts/Skirts|Ethnic-Western Fusion,Pastels|Bold/Bright|Dark tones,College/Campus|Festivals,Trendy/Street style,I buy both equally,Co-ord set+Accessories|3 basics for ₹999,1.0,Instagram,No,Definitely yes,"₹1,000–₹2,500",2180.0,4.0,Yes – many times,Designs not India-appropriate|High prices,Unlikely,Not Interested
R0493,TrendyUrban,False,18–24,Female,Metro,Salaried – Private,"₹20,000–₹40,000",Frequently,Myntra|Ajio|Amazon|Meesho|Instagram/Social,Below ₹500,Price/Discounts|Brand trust,Often,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts|Activewear,Bold/Bright|Prints & Patterns|Earth tones,College/Campus|Office/Work|Casual outings|Dates/Parties|Travel,Trendy/Street style,No – western only,Co-ord set+Accessories|3 basics for ₹999|Curated outfit box,3.0,Instagram,No,Maybe – if quality is great,"₹2,500–₹5,000",3790.0,5.0,No – never,Low fabric quality,Somewhat likely,Interested
R0494,BudgetStudent,False,18–24,Male,,Student,"Below ₹20,000",,Myntra|Flipkart|Brand website,"₹500–₹1,000",Fast delivery,Never,Jeans/Denim|T-shirts,Neutrals|Bold/Bright|Prints & Patterns,College/Campus|Casual outings|Dates/Parties|Festivals|Gym/Workout,Boho/Free-spirited,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999|Seasonal wardrobe kit,1.0,WhatsApp/Friends,Yes,No – price matters,"₹500–₹1,000",600.0,3.0,No – but tempted,Poor size range,Somewhat likely,Interested
R0495,TrendyUrban,False,35–44,Female,Tier-2,Student,"Below ₹20,000",,Myntra|Amazon|Meesho,"₹2,500–₹5,000",Brand trust|Trendy designs,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Ethnic-Western Fusion,Neutrals|Pastels|Dark tones,College/Campus|Casual outings|Gym/Workout,Classic/Formal,No – western only,Co-ord set+Accessories|3 basics for ₹999|Curated outfit box|Ethnic+western bundle|Seasonal wardrobe kit,4.0,Instagram,Yes,Maybe – if quality is great,"₹2,500–₹5,000",4560.0,4.0,Yes – many times,Low fabric quality|Poor returns/service,Very likely,Interested
R0496,ProfessionalWoman,False,25–34,Female,Metro,,"₹75,000–₹1.5L",Very frequently,Myntra|Ajio|Brand website|Instagram/Social,"₹2,500–₹5,000",,Often,T-shirts|Dresses|Co-ord sets|Jackets/Blazers|Activewear,Dark tones|Prints & Patterns,Office/Work|Casual outings|Dates/Parties|Travel|Work-from-home,Minimalist,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,5.0,Instagram,Yes,Haven't thought,"Above ₹10,000",12820.0,4.0,Yes – many times,Poor size range|Low fabric quality,Somewhat likely,Interested
R0497,TrendyUrban,False,35–44,Female,Tier-3 / Rural,,"₹20,000–₹40,000",Frequently,Ajio|Meesho|Instagram/Social,"₹500–₹1,000",Fast delivery,Never,Jeans/Denim|T-shirts|Co-ord sets|Shorts/Skirts|Activewear,Bold/Bright|Dark tones|Prints & Patterns,College/Campus|Office/Work|Casual outings|Dates/Parties|Festivals|Work-from-home,Minimalist,Yes – occasionally,Curated outfit box,3.0,Instagram,Yes,Haven't thought,"₹1,000–₹2,500",1450.0,4.0,Yes – many times,Poor size range|Designs not India-appropriate,Very likely,Interested
R0498,BudgetStudent,False,18–24,Female,Tier-1,Freelancer,"Below ₹20,000",Rarely,Myntra|Amazon|Meesho,Below ₹500,Price/Discounts,Sometimes,T-shirts|Shorts/Skirts,Neutrals|Pastels|Prints & Patterns,,Boho/Free-spirited,,Top+Bottom combo|Ethnic+western bundle,5.0,YouTube,Yes,No – price matters,"₹1,000–₹2,500",1690.0,3.0,No – but tempted,Poor size range|Low fabric quality,Somewhat likely,Interested
R0499,TrendyUrban,False,25–34,Female,Tier-1,Salaried – Private,Above ₹1.5L,Frequently,Meesho,"₹2,500–₹5,000",Fabric quality,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Jackets/Blazers|Activewear|Ethnic-Western Fusion,Bold/Bright|Prints & Patterns|Earth tones,Office/Work|Festivals|Travel|Work-from-home,Trendy/Street style,Yes – regularly,Co-ord set+Accessories|Curated outfit box,,Instagram,No,Definitely yes,"₹5,000–₹10,000",6640.0,2.0,No – but tempted,Poor returns/service,Neutral,Neutral
R0500,BudgetStudent,True,Under 18,Female,Tier-1,Student,"₹20,000–₹40,000",Frequently,Flipkart,"₹1,000–₹2,500",Price/Discounts|Trendy designs,Never,Tops/Blouses|Dresses|Co-ord sets|Shorts/Skirts|Ethnic-Western Fusion,Neutrals|Pastels|Bold/Bright,Office/Work|Festivals|Gym/Workout,Trendy/Street style,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999,5.0,WhatsApp/Friends,No,No – price matters,"₹1,000–₹2,500",20000.0,1.0,Yes – many times,Low fabric quality|Designs not India-appropriate,Very likely,Interested
R0501,ProfessionalWoman,False,,Female,Tier-2,Salaried – Private,"₹75,000–₹1.5L",Occasionally,Amazon|Flipkart|Brand website,"₹1,000–₹2,500",Fabric quality,Sometimes,T-shirts|Tops/Blouses|Dresses|Co-ord sets,Neutrals|Bold/Bright|Dark tones,Office/Work|Work-from-home,Minimalist,I buy both equally,Top+Bottom combo|Co-ord set+Accessories|Seasonal wardrobe kit,5.0,Instagram,Not aware,Definitely yes,"₹5,000–₹10,000",8410.0,3.0,Yes – once or twice,Poor size range|Low fabric quality,Very likely,Interested
R0502,BudgetStudent,False,18–24,Female,Tier-1,Student,"Below ₹20,000",Frequently,None,"₹500–₹1,000",Price/Discounts|Fabric quality,Often,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets,Neutrals|Earth tones,College/Campus|Casual outings|Festivals|Travel|Work-from-home,Classic/Formal,No – western only,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999,1.0,Instagram,No,Haven't thought,"₹1,000–₹2,500",2300.0,4.0,No – never,Low fabric quality|High prices,Somewhat likely,Interested
R0503,TrendyUrban,False,25–34,Female,Tier-2,Self-employed,"₹75,000–₹1.5L",Frequently,Myntra|Brand website|Instagram/Social,"₹2,500–₹5,000",Easy returns,Sometimes,T-shirts|Jackets/Blazers|Activewear,Pastels|Prints & Patterns,College/Campus|Office/Work|Gym/Workout,Trendy/Street style,No – western only,Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,3.0,YouTube,Yes,Maybe – if quality is great,"₹1,000–₹2,500",1340.0,5.0,Yes – many times,Designs not India-appropriate|Limited ethnic-fusion,Very likely,Interested
R0504,ProfessionalWoman,False,35–44,Female,Tier-1,Salaried – Govt.,Above ₹1.5L,Occasionally,Myntra|Ajio|Amazon|Meesho|Instagram/Social,"₹1,000–₹2,500",Brand trust|Trendy designs,Sometimes,Jeans/Denim|Tops/Blouses|Activewear,Pastels|Bold/Bright|Dark tones,Office/Work|Travel,Sporty/Athleisure,Yes – regularly,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,4.0,Instagram,No,Definitely yes,"₹1,000–₹2,500",1910.0,4.0,Yes – once or twice,Limited ethnic-fusion|Poor returns/service,Neutral,Neutral
